English	Spanish
I'm allergic to peanuts.	Soy alérgica a los cacahuates.
Tom did his best to keep temper under control.	Tom hizo lo que pudo para controlar su temperamento.
I don't think about you.	Yo no pienso en ti.
They saved us.	Ellas nos salvaron.
He's always short of money.	Siempre anda corto de dinero.
I think this is really exciting.	Pienso que esto es realmente excitante.
I'm not forgetful.	No soy olvidadizo.
Please help yourself to the cake.	Por favor sírvase torta.
Why is this happening to us?	¿Por qué nos pasa esto a nosotros?
Tom deserves a promotion.	Tom merece un ascenso.
I never think about it anymore.	Ya no pienso en ello.
The machine has to be assembled.	Hay que armar esta máquina.
She went from London to Paris.	Ella fue desde Londres a París.
Tom will be arriving an hour late.	Tom llegará una hora tarde.
I'm going to go now.	Ahora me voy a ir.
Dry wood burns well.	La madera seca arde bien.
He's broke.	Está arruinado.
He is opening the window.	Él está abriendo la ventana.
He has had a long teaching career.	Ha tenido una larga trayectoria como profesor.
Tom has been bullying me for months.	Tom me ha estado haciendo bullying desde hace meses.
Tom isn't babbling.	Tom no está murmurando.
I like to listen to music.	Me gusta escuchar música.
She has a bath every morning.	Ella se baña cada mañana.
Wounds heal as time passes.	Las heridas sanan con el tiempo.
Everybody seems to be having a good time.	Todo el mundo parece estar pasándoselo bien.
That's good advice.	Es un buen consejo.
You not only look like Tom, you sound like him.	No solo te ves como Tom, sino que también te oyes como él.
When I got home, I noticed that I had lost my wallet.	Cuando llegué a casa, noté que había perdido mi billetera.
I know next to nothing.	No sé casi nada.
Tell it to him, not me!	¡Díselo a él, no a mí!
Exercise is vital for a dog.	El ejercicio es indispensable para un perro.
Mary named the baby after her grandmother.	Mary le puso a su bebé el nombre de su abuela.
I want to go to the bathroom.	Quiero ir al baño.
Without your help, I would have drowned.	Sin tu ayuda, yo me hubiera ahogado.
Human cruelty has no limits.	La crueldad humana no tiene límites.
Do you want some beer?	¿Quieres un poco de cerveza?
She asked him to not quit his job.	Ella le pidió que no dejase su trabajo.
The priest blessed the congregation at the end of the mass.	El sacerdote bendijo a la congregación al término de la misa.
I don't want to go there again.	No quiero volver allí.
I'd like to go to France sometime.	Me gustaría ir a Francia alguna vez.
We went to the park to take pictures.	Fuimos al parque a tomar fotos.
What happened here today?	¿Qué pasó aquí hoy?
That isn't fair.	Eso es injusto.
Tom apparently didn't do what he said he would do.	Aparentemente, Tom no hizo lo que él dijo que haría.
Tell me the reason why he was fired.	Explícame la razón por la que él fue despedido.
Tom couldn't understand a single word of what Mary said.	Tom no pudo entender una sola palabra de lo que dijo Mary.
I ended up winning.	Terminé ganando.
I appreciate all you've done for me.	Aprecio todo lo que has hecho por mí.
